420,420
420,108616
632,632
721,150909
839,123882
871,124451
902,119310
902,153847
939,148717
1093,152116
1183,117875
1502,121748
1520,1520
1567,125993
1619,139278
1762,1762
1830,1830
1830,107786
1860,1860
1985,116984
2613,131476
2840,137753
3129,284467
3487,111611
3535,125480
3581,150386
3764,118498
3896,123864
4594,155569
4744,119497
5614,124765
5793,148398
5861,113335
6076,155044
6446,132714
6737,139457
7026,7026
7306,143686
7324,7324
7327,115868
7713,111114
7832,142622
8353,134485
8541,325341
8628,8628
8637,23108
8640,73330
8643,8643
8647,8647
8652,8652
8664,160572
8689,76986
8694,8694
8698,8698
8702,68218
8746,8746
8747,8747
8758,15784
8764,8764
8771,74678
8776,42846
8779,8779
8786,14300
8790,63360
8806,8806
8824,8824
8830,8830
8832,48166
8836,8836
8836,78262
8845,25386
8845,307447
8881,158979
8885,8885
8885,38646
8896,8896
8900,8900
8903,8903
8904,8904
8904,43302
8911,8911
8916,8916
8932,8932
8935,8935
8935,63800
8935,79113
8935,237722
8971,8971
8992,51684
8992,170361
8992,232303
8992,412172
8998,8998
9004,42283
9006,236889
9018,51002
9025,35811
9025,379195
9041,9041
9059,9059
9059,228009
9059,307248
9059,308809
9064,9064
9075,9075
9097,9097
9109,17050
9126,9126
9154,9154
9170,9170
9171,64114
9172,9172
9182,9182
9184,9184
9190,9190
9193,26284
9193,78071
9198,9198
9205,54644
9209,9209
9214,9214
9226,9226
9237,9237
9238,9238
9240,9240
9244,9244
9266,9266
9274,9274
9294,9294
9301,169369
9311,78970
9311,170868
9318,9318
9319,63178
9322,9322
9323,9323
9336,54543
9349,9349
9354,38204
9358,9358
9366,9366
9386,9386
9411,9411
9412,9412
9412,61774
9412,366352
9424,59295
9429,9429
9440,9440
9445,18481
9479,9479
9489,9489
9495,9495
9501,55101
9501,166942
9504,63013
9512,9512
9513,56288
9515,9515
9522,31073
9524,36296
9532,66067
9542,9542
9544,68991
9545,9545
9551,54843
9553,71046
9566,33457
9566,171417
9568,9568
9585,9585
9590,9590
9605,9605
9607,77158
9624,9624
9630,9630
9651,9651
9651,198124
9653,9653
9676,9676
9680,72294
9680,384479
9683,20222
9698,9698
9698,306546
9702,9702
9710,40689
9713,9713
9713,21621
9727,21469
9731,27610
9750,53043
9760,9760
9779,9779
9780,333268
9783,250688
9789,9789
9791,9791
9793,332800
9853,9853
9861,28316
9865,9865
9881,61415
9882,264569
9883,9883
9896,27178
9901,12341
9918,9918
9922,9922
9928,9928
9935,9935
9935,32842
9936,76327
9946,9946
9946,58570
9951,9951
9954,33543
9965,9965
9973,9973
9979,9979
9982,9982
9986,41108
9988,9988
10000,10000
10007,16773
10027,10027
10052,10052
10055,64309
10067,19445
10068,10068
10073,158974
10096,76801
10129,39912
10129,196945
10143,10143
10144,10144
10145,76188
10146,52031
10156,10156
10160,42886
10161,165002
10168,10168
10172,10172
10194,71394
10194,332816
10195,47466
10201,251501
10203,10203
10210,10210
10210,62685
10227,10227
10231,56335
10249,10249
10249,29905
10249,225581
10260,10260
10272,10272
10272,25993
10290,10290
10296,10296
10321,10321
10329,34156
10332,10332
10338,10338
10353,10353
